"","band","first_date","first_year","index","adult.nestl","est.age","site_2022","certainty"
"194","2870-64905","2022-07-20",2022,1,"M",1,"Blue Cloud","good"
"195","2870-64906","2022-07-20",2022,2,"M",1,"Boyer","low"
"196","2870-64907","2022-08-07",2022,2,"M",1,"CHR","low"
"197","2870-64908","2022-08-07",2022,2,"F",1,"CHR","low"
"198","2870-64909","2022-08-07",2022,1,"F",1,"CHR","low"
"199","2870-64910","2022-08-07",2022,2,"F",1,"CHR","low"
"200","2870-64911","2022-08-07",2022,1,"unknown",0,"CHR","exact"
"201","2870-64912","2022-08-09",2022,1,"F",1,"James Ditch","low"
"202","2870-64913","2022-08-09",2022,1,"M",1,"James Ditch","low"
"203","2870-64914","2022-08-10",2022,1,"F",1,"Cooks","good"
"204","2870-64915","2022-08-10",2022,1,"M",1,"Cooks","good"
"205","2870-64916","2022-08-10",2022,1,"M",1,"Mary Ann's","good"
"206","2870-64917","2022-08-10",2022,1,NA,0,"Mary Ann's","exact"
"207","2870-64918","2022-08-11",2022,1,"M",1,"Boyer","low"
"208","2870-64919","2022-08-11",2022,1,"unknown",0,"Boyer","exact"
"209","2870-65001","2022-07-05",2022,1,"M",1,"Schaap ","good"
"210","2870-65002","2022-07-05",2022,1,"F",1,"Schaap ","good"
"211","2870-65003","2022-07-11",2022,1,"F",1,"CHR","low"
"212","2870-65004","2022-07-11",2022,1,"F",1,"CHR","low"
"213","2870-65005","2022-07-14",2022,1,"F",1,"Grizz","good"
"214","2870-65006","2022-07-14",2022,1,"unknown",0,"Grizz","exact"
"215","2870-65007","2022-07-14",2022,1,"F",1,"Grizz","good"
"216","2870-65008","2022-07-14",2022,1,"unknown",0,"Grizz","exact"
"217","2870-65009","2022-07-14",2022,1,"F",1,"Grizz","good"
