"date","initials","day12","est_age","site","nest","brood","eggs","mom_band","dad_band","band","feathers","rwl","mites_nestling","lysis_amt","mass","survived","nestling_notes","mites_pt","nest_notes","nestling_manipulated","nestling_treatment","nestling_manipulation_date","lysis","nestling_num","year","mites","mom_origin","dad_origin","original_site","original_nest","additional_data","clutch_size","max_brood","mites_nest","plasma_amount","slides","tarsus","nestling_manipulation","plasma","sex","mom_biol_band","dad_biol_band"
"2008-08-29","","","11","Centennial","10.0","2","","2540-44690","2540-44692","2351-05749","Y",NA,"","","18","","","","","N","","","Y","3/3","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"N","","",""
"2008-08-29","","","5","Centennial","9.0","2","","2540-44546","UNB","2351-05750","N",NA,"","",NA,"","","","","N","","","N","1/3","2008","N","","","","","Microbe data available","3.0","","","","",NA,NA,"N","","",""
"2008-08-29","","","5","Centennial","9.0","2","","2540-44546","UNB","2351-05751","N",NA,"","",NA,"","","","","N","","","N","2/3","2008","N","","","","","Microbe data available","3.0","","","","",NA,NA,"N","","",""
"2008-08-29","","","5","Centennial","9.0","2","","2540-44546","UNB","2351-05752","N",NA,"","",NA,"","","","","N","","","N","3/3","2008","N","","","","","Microbe data available","3.0","","","","",NA,NA,"N","","",""
"2008-09-05","","","10?","Make Believe","41.0","2","","2540-44752","2540-44749","2351-05753","Y","50","","","18","","","","","N","","","Y","1/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"N","F","",""
"2008-09-05","","","10?","Make Believe","41.0","2","","2540-44752","2540-44749","2351-05754","Y","49","","","17.75","","","","","N","","","Y","2/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"N","M","",""
"2008-09-05","","","10?","Make Believe","41.0","2","","2540-44752","2540-44749","2351-05755","Y","46.5","","","18.25","","","","","N","","","Y","3/4","2008","Y","","","","","Microbe data available","4.0","","","","",NA,NA,"N","M","",""
"2008-09-05","","","10?","Make Believe","41.0","2","","2540-44752","2540-44749","2351-05756","Y","51.5","","","16.5","","","","","N","","","Y","4/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"N","M","",""
"2008-09-08","","","11","Colorado Sky","3.0","3","","2540-44694","2540-44661","2351-05757","Y",NA,"","","17","","","","","N","","","Y","1/2","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"N","","",""
"2008-09-08","","","11","Colorado Sky","3.0","3","","2540-44694","2540-44661","2351-05758","Y",NA,"","","16.5","","","","","N","","","Y","2/2","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"N","","",""
"2008-09-09","","","11","Fisher","29.0","2","","2540-44688","2540-44594","2351-05759","Y",NA,"","","17","","","","","N","","","Y","1/3","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"Y","M","",""
"2008-09-09","","","11","Fisher","29.0","2","","2540-44688","2540-44594","2351-05760","Y",NA,"","","21","","","","","N","","","Y","2/3","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"Y","M","",""
