band,site,recap,sex,date_captured,rwl1,rwl2,rwl3,intact_lts,intact_rts,lts1,lts2,lts3,rts1,rts2,rts3,mass_1,color_top,color_bottom,mb_tape,cb_side,lysis,nest_1,mate_band_1,ci_1,eggs_1,hatched_1,day_12_1,nest_fate_1,success_1,nest_2,mate_band_2,ci_2,eggs_2,hatched_2,day_12_2,nest_fate_2,success_2,nest_3,mate_band_3,ci_3,eggs_3,hatched_3,day_12_3,nest_fate_3,success_3,nest_4,mate_band_4,ci_4,eggs_4,hatched_4,day_12_4,nest_fate_4,success_4,throat_avg_bright,breast_avg_bright,belly_avg_bright,vent_avg_bright,year,julian_ci_1,julian_ci_2,julian_ci_3,julian_ci_4,mean_rwl,mean_rts,mean_lts
2850-57698,Speedwell,N,F,2022-07-16,120.5,120.5,120,Y,Y,77.5,77.5,78,78,78,78.5,18,NA,NA,NA,NA,Y,unknown,unknown,NA,unknown,unknown,unknown,unknown,unknown,1,2850-57699,NA,4,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,16.13808076,33.38072782,36.06692257,24.63946162,2022,NA,NA,NA,NA,120.3333333,78.16666667,77.66666667
2850-57699,Speedwell,N,M,2022-07-16,120.5,120.5,120.5,Y,N,88.5,89,89,NA,NA,NA,16.25,NA,NA,NA,NA,Y,unknown,unknown,NA,unknown,unknown,unknown,unknown,unknown,1,2850-57698,NA,4,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,21.34698903,33.64390828,31.10542871,29.33220339,2022,NA,NA,NA,NA,120.5,NA,88.83333333
2850-57700,Cooks,N,F,2022-07-18,115.5,115,115.5,Y,Y,73,72.5,72.5,73.5,73.5,73.5,18.41,Dk Blue,Purple,NONE,R,Y,33,2870-64915,2022-07-06,4,4,4,fledged,Y,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,23.54235626,33.71179295,33.7028448,32.97698571,2022,187,NA,NA,NA,115.3333333,73.5,72.66666667
2850-57701,Schaap,Y,M,2022-07-05,119,119,119,N,Y,NA,NA,NA,90,90,90,18.1,Black,Dk Blue,NONE,R,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,15.52130608,22.28774177,19.56368561,23.98611333,2022,NA,NA,NA,NA,119,90,NA
2850-57730,Colorado Horse Rescue,Y,F,2022-07-11,117,117,117,Y,Y,79,79,79,78.5,78.5,78.5,19.1,Pink,Yellow,NONE,L,Y,93,2640-97588,2022-05-14,5,5,5,fledged,Y,93.2,2640-97588,2022-07-01,5,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,15.70236623,12.82672316,23.21604354,25.31275341,2022,134,182,NA,NA,117,78.5,79
2850-57731,Colorado Horse Rescue,Y,M,2022-06-17,119,119,119,Y,Y,92,92,93,91,91,91,15.9,Yellow,White,NONE,L,Y,32,2640-97358,2022-05-13,5,5,5,fledged,Y,109,2640-97358,2022-07-01,4,0,0,unhatched,N,32.2,2640-97358,2022-08-11,3,3,2,fledged,Y,NA,,NA,NA,NA,NA,,,10.9634214,23.24545364,18.5751562,24.60593387,2022,133,182,223,NA,119,91,92.33333333
2850-57733,Colorado Horse Rescue,Y,M,2022-06-17,121.5,121.5,122,Y,N,102,102,102,NA,NA,NA,15.66,Black,Lt Green,NONE,R,Y,11,UNB,2022-06-25,4,3,3,fledged,Y,101,2870-64908,2022-08-10,4,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,14.84394317,20.45213858,22.3788767,18.61630941,2022,176,222,NA,NA,121.6666667,NA,102
2850-57735,Colorado Horse Rescue,Y,F,2022-06-17,116,116,116,Y,Y,79,80,80,78.5,78.5,78.5,17.4,Lt Green,Purple,NONE,L,Y,37,2850-57806,2022-05-18,5,5,3,fledged,Y,119,2850-57806,2022-07-09,4,2,2,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,15.02817049,30.99803589,33.99968096,30.60939349,2022,138,190,NA,NA,116,78.5,79.66666667
2850-57736,Colorado Horse Rescue,Y,F,2022-06-17,117,117,117.5,Y,Y,75,75,74.5,73,73,73,18.71,Orange,DK Green,NONE,L,Y,43,2850-57567,2022-05-29,5,5,4,fledged,Y,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,18.82615819,20.40757062,19.58981555,26.68112828,2022,149,NA,NA,NA,117.1666667,73,74.83333333
2850-57737,Colorado Horse Rescue,Y,F,2022-06-17,120,120,120,Y,Y,83,83,83,83,83,83,17.59,Black,Purple,NONE,R,Y,76,UNB,2022-06-07,5,0,0,predated,N,12,UNB,2022-07-03,4,3,3,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,12.84813227,22.34719674,19.98023928,22.67249585,2022,158,184,NA,NA,120,83,83
2850-57741,Ericas,N,F,2022-06-10,113.5,114,113.5,N,Y,NA,NA,NA,73,73,73,17.9,LT Green,Black,NONE,R,Y,1,2811-00632,2022-05-22,3,3,0,predated,N,2,2811-00632,2022-06-23,4,4,0,failed,N,3,2811-00632,2022-07-24,5,2,0,predated,N,NA,,NA,NA,NA,NA,,,18.18204055,26.96405616,27.39202227,26.15552675,2022,142,174,205,NA,113.6666667,73,NA
2850-57742,Colorado Horse Rescue,N,M,2022-06-17,118,118,118,Y,Y,92,92,92,93,93,93,16.98,White,White,NONE,L,Y,110,2850-57846,2022-05-21,4,4,4,fledged,Y,52,2850-57846,2022-07-06,5,5,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,13.00562645,26.1463443,26.30566135,22.8044882,2022,141,187,NA,NA,118,93,92
2850-57743,Colorado Horse Rescue,N,M,2022-06-17,117.5,117.5,117,Y,Y,86,86,86,84,84,84,16.44,Lt Green,Orange,NONE,L,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,10.59569791,22.84660186,19.9272549,18.60491858,2022,NA,NA,NA,NA,117.3333333,84,86
2850-57744,Colorado Horse Rescue,N,M,2022-06-17,116,116,116,N,Y,NA,NA,NA,84.5,84.5,84.5,14.77,White,Lt Blue,NONE,L,Y,78,2850-57656,2022-06-08,5,5,5,fledged,Y,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,24.63866733,20.45419575,20.25567464,16.45550847,2022,159,NA,NA,NA,116,84.5,NA
2850-57745,Colorado Horse Rescue,N,M,2022-06-17,118,118,118,Y,Y,86,86,86,85,85,85,16.33,Pink,Purple,NONE,L,Y,82,2850-57655,2022-05-26,5,1,0,predated,N,115,2850-57655,2022-06-30,3,0,0,unhatched,N,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,11.89491525,19.28173812,21.88407444,26.3850565,2022,146,181,NA,NA,118,85,86
2850-57746,Colorado Horse Rescue,N,F,2022-06-17,116,116,115.5,N,Y,NA,NA,NA,78,78,78,16.91,Red,DK Green,NONE,L,Y,74,2850-57582,2022-05-30,4,3,3,fledged,Y,6,2850-57582,2022-07-21,5,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,16.74286308,19.18283317,22.0371552,18.33031073,2022,150,202,NA,NA,115.8333333,78,NA
2850-57747,Mayas,N,F,2022-07-03,119,119,119.5,Y,Y,81,81,81.5,81,81,81,18.4,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,21.70254736,33.54222832,28.48401462,23.12199734,2022,NA,NA,NA,NA,119.1666667,81,81.16666667
2850-57749,Cooks,N,F,2022-07-27,118,118,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,NA,Y,13,2850-57675,2022-07-04,4,4,4,failed,N,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,19.41171319,30.77948986,21.0645098,30.16000166,2022,185,NA,NA,NA,118,NA,NA
2850-57750,Make Believe,N,M,2022-08-11,122,122,121.5,unknown,Y,83.5,83.5,83.5,78.5,78,78,16.91,White,Dk Green,NONE,L,Y,62.2,2850-57876,2022-07-14,3,0,0,unhatched,N,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,22.59828681,30.21442173,33.07988036,23.11147225,2022,195,NA,NA,NA,121.8333333,78.16666667,83.5
2850-57751,Jays,N,M,2022-08-15,124,124,124,N,Y,NA,NA,NA,96,96,96,17.75,Black,Black,NONE,R,Y,1,2850-57660,2022-07-23,4,0,0,predated,N,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,18.24935859,25.09566966,25.83231638,22.71757561,2022,204,NA,NA,NA,124,96,NA
2850-57752,McCauley,N,M,2022-08-15,122,122,121.5,Y,Y,89,89,89,94,94,94,15.94,Lt Green,White,NONE,L,Y,4,2850-57753,2022-07-20,5,5,4,fledged,Y,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,19.2939764,24.31241442,25.37603523,21.02538219,2022,201,NA,NA,NA,121.8333333,94,89
2850-57753,McCauley,N,F,2022-08-15,116,116,116,Y,Y,83.5,83.5,84,82,82,82,16.54,White,Dk Blue,NONE,R,Y,4,2850-57752,2022-07-20,5,5,4,fledged,Y,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,20.30586407,27.86042871,21.06329678,23.39175141,2022,201,NA,NA,NA,116,82,83.66666667
2850-57806,Colorado Horse Rescue,Y,M,2022-06-17,120,120,120.5,Y,Y,86,86,86,83.5,84,84,15.88,Dk Green,White,NONE,L,Y,37,2850-57735,2022-05-18,5,5,3,fledged,Y,96,2850-57568,2022-05-18,5,5,4,fledged,Y,119,2850-57735,2022-07-09,4,2,2,fledged,Y,96.2,2850-57568,2022-07-10,5,4,3,fledged,Y,11.25502825,14.26422898,18.0460319,17.57589232,2022,138,138,190,191,120.1666667,83.83333333,86
2850-57808,Colorado Horse Rescue,Y,M,2022-08-07,120.5,120.5,120.5,Y,N,100,100,100,NA,NA,NA,17.44,White,Pink,NONE,L,Y,29,2640-97331,2022-05-18,5,5,4,fledged,Y,27,2640-97331,2022-07-05,4,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,11.46748421,15.37756564,20.6164008,18.7548222,2022,138,186,NA,NA,120.5,NA,100
2850-57846,Colorado Horse Rescue,Y,F,2022-06-17,118,118.5,118,Y,Y,80,80,80,79.5,80,80,17.29,Purple,DK Green,NONE,L,Y,110,2850-57742,2022-05-21,4,4,4,fledged,Y,52,2850-57742,2022-07-06,5,5,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,13.03171486,21.79884679,24.82876869,29.76354271,2022,141,187,NA,NA,118.1666667,79.83333333,80
2850-57853,Cooks,Y,F,2022-05-28,114,114,114,Y,Y,80,80.5,80.5,78.5,78.5,78.5,20.9,White,White,Green,R,Y,29,2850-57638,2022-05-13,5,5,5,fledged,Y,8,2850-57638,2022-07-02,5,5,5,failed,N,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,23.24357926,29.95942921,19.03226155,29.00649718,2022,133,183,NA,NA,114,78.5,80.33333333
2850-57868,Urban Farm Girlz,N,M,2022-06-01,120,120,120,Y,Y,91,91.5,91,90,90,91,19,Red,Black,Yellow,R,Y,8,2850-57629,2022-06-11,4,3,3,fledged,Y,8.2,2850-57629,2022-07-26,5,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,11.44505317,25.26557328,22.7552343,21.53962944,2022,162,207,NA,NA,120,90.33333333,91.16666667
2850-57869,Blue Cloud,N,F,2022-06-06,117,117,117,Y,Y,78.5,78,78.5,78,78,78,19.21,Yellow,Yellow,Blue,L,Y,4,2850-57659,2022-05-22,2,2,2,fledged,Y,17,2850-57659,2022-07-06,4,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,15.75369724,27.30900964,29.34528913,21.68236956,2022,142,187,NA,NA,117,78,78.33333333
2850-57870,Blue Cloud,N,F,2022-06-06,120,120.5,120.5,Y,Y,73,73,73.5,73.5,73.5,74,17.45,Purple,Yellow,NONE,R,Y,19,2850-57565,2022-05-21,3,3,0,failed,N,24,2850-57565,2022-06-22,5,5,5,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,18.61208043,NA,NA,NA,2022,141,173,NA,NA,120.3333333,73.66666667,73.16666667
2850-57871,Blue Cloud,N,F,2022-06-06,118,118,118.5,Y,Y,79,79.5,79,81,81,81,17.56,Lt Blue,Lt Blue,Green,R,Y,22,2850-57614,2022-05-15,3,2,2,fledged,Y,14,2850-57614,2022-06-27,4,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,22.26922067,29.5426886,27.10740778,28.97539216,2022,135,178,NA,NA,118.1666667,81,79.16666667
2850-57872,Make Believe,N,F,2022-06-07,120.5,120.5,120,Y,Y,79.5,79.5,79.5,80,80,80,19.12,Dk Green,Red,NONE,L,Y,26,2850-57873,2022-05-30,4,4,4,fledged,Y,48,2850-57873,2022-07-19,4,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,19.89401296,27.50672981,25.50669159,31.53123629,2022,150,200,NA,NA,120.3333333,80,79.5
2850-57873,Make Believe,N,M,2022-06-07,121.5,121.5,122,Y,Y,94,93.5,94,91.5,91.5,91.5,17.78,Red,White,NONE,R,Y,26,2850-57872,2022-05-30,4,4,4,fledged,Y,48,2850-57872,2022-07-19,4,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,14.19395646,25.92409605,17.52426554,23.12273347,2022,150,200,NA,NA,121.6666667,91.5,93.83333333
2850-57874,Make Believe,N,F,2022-06-07,117,117,117.5,Y,Y,74,74,74,75,75,75,20.24,Black,Dk Green,NONE,R,Y,8,2850-57875,2022-05-31,4,4,4,fledged,Y,8.2,2850-57875,2022-07-16,5,0,0,unhatched,N,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,15.6378232,25.01960784,27.4267215,22.21683117,2022,151,197,NA,NA,117.1666667,75,74
2850-57875,Make Believe,N,M,2022-06-07,120,120,120,Y,Y,78.5,78,78,85,85.5,85,18.35,Pink,Lt Green,NONE,R,Y,8,2850-57874,2022-05-31,4,4,4,fledged,Y,8.2,2850-57874,2022-07-16,5,0,0,unhatched,N,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,10.47729977,18.82554005,18.80828847,20.39057162,2022,151,197,NA,NA,120,85.16666667,78.16666667
2850-57876,Make Believe,N,F,2022-06-14,117.5,118,118,Y,Y,75,75,75,72,72,72,19.4,Purple,Orange,Yellow,R,Y,62,2850-57680,2022-06-10,4,0,0,unhatched,N,62.2,2850-57750,2022-07-14,3,0,0,unhatched,N,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,16.80065969,31.41114158,31.70139415,27.59222001,2022,161,195,NA,NA,117.8333333,72,75
2850-57877,Make Believe,N,M,2022-06-14,120,120.5,120.5,N,Y,NA,NA,NA,81,80.5,81,17.41,Yellow,Red,Yellow,L,Y,13,2850-57878,2022-06-14,5,3,3,fledged,Y,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,16.51858757,21.75545862,23.0853988,26.05510967,2022,165,NA,NA,NA,120.3333333,80.83333333,NA
2850-57878,Make Believe,N,F,2022-06-14,118.5,118,118,Y,Y,69.5,70,70,69,69,69,19.77,Dk Green,Yellow,Blue,R,Y,13,2850-57877,2022-06-14,5,3,3,fledged,Y,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,13.84048106,25.90715022,15.86279827,23.12566301,2022,165,NA,NA,NA,118.1666667,69,69.83333333
2850-57879,Colorado Horse Rescue,N,F,2022-06-17,125,124.5,125,Y,N,86.5,86.5,87,NA,NA,NA,19.28,Orange,Purple,NONE,L,Y,112,2850-57647,2022-06-05,5,4,4,fledged,Y,112.2,2850-57647,2022-07-29,5,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,14.99234629,31.94793453,31.93524427,34.53678132,2022,156,210,NA,NA,124.8333333,NA,86.66666667
2850-57880,Colorado Horse Rescue,N,M,2022-06-17,121,121,121.5,Y,Y,101,101,100.5,101.5,102,102,16.81,Black,Lt Blue,NONE,L,Y,139,2850-57571,2022-06-18,4,3,1?,NA,NA,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,18.64706215,29.39281489,28.58826853,27.28634098,2022,169,NA,NA,NA,121.1666667,101.8333333,100.8333333
2850-57881,Colorado Horse Rescue,N,M,2022-06-17,120,119.5,119.5,Y,Y,86,85.5,86,85,85,84.5,16.55,DK Blue,Dk Blue,NONE,R,Y,25,2850-57650,2022-05-23,6,4,4,fledged,Y,95,2850-57650,2022-07-19,4,3,3,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,11.73463277,21.93833167,26.56095214,31.59365071,2022,143,200,NA,NA,119.6666667,84.83333333,85.83333333
2850-57882,Colorado Horse Rescue,N,F,2022-06-17,119,119,119,Y,Y,84,84,84.5,86.5,86.5,87,18.54,Lt Green,Lt Green,NONE,L,Y,85,2811-82969,2022-05-30,NA,NA,NA,fledged,Y,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,17.07547856,17.87328847,21.0287122,20.56727152,2022,150,NA,NA,NA,119,86.66666667,84.16666667
2850-57883,Colorado Horse Rescue,N,F,2022-06-17,118,118,118,N,Y,NA,NA,NA,78,78,77.5,16.69,Red,Yellow,NONE,L,Y,99,2850-57578,2022-06-06,5,5,5,fledged,Y,99.2,2850-57578,2022-07-26,4,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,20.88361083,25.27007145,28.1415786,31.36723164,2022,157,207,NA,NA,118,77.83333333,NA
2850-57884,Colorado Horse Rescue,N,F,2022-06-17,122,122,122,Y,N,78,78,78.5,NA,NA,NA,19.01,Red,Purple,NONE,R,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,22.82153373,33.81840146,25.5678099,32.8096228,2022,NA,NA,NA,NA,122,NA,78.16666667
2850-57885,Blue Cloud,N,F,2022-07-02,118.5,118.5,118.5,Y,Y,82,82,82.5,80,80,80,19.27,Dk Blue,Yellow,NONE,R,Y,26,2870-64905,2022-06-14,4,0,0,unhatched,N,26.2,2870-64905,2022-07-09,4,0,0,unhatched,N,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,16.49212197,36.67580592,36.7745447,34.60851612,2022,165,190,NA,NA,118.5,80,82.16666667
2850-57886,Blue Cloud,N,F,2022-07-02,121,121,121.5,Y,Y,80,80,80.5,79,79,79,18.71,Dk Green,Red,NONE,R,Y,27,UNB,2022-06-23,4,4,4,failed,N,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,18.22268362,36.54960784,33.33329179,33.01707876,2022,174,NA,NA,NA,121.1666667,79,80.16666667
2850-57887,Mayas,N,F,2022-07-03,119,118.5,119,Y,Y,73,72.5,72.5,73.5,73.5,74,18.5,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,18.08672815,28.65135095,26.81719342,31.39231971,2022,NA,NA,NA,NA,118.8333333,73.66666667,72.66666667
2850-57888,Mayas,N,F,2022-07-03,118.5,118.5,119,Y,Y,76,76,76,77,77,76.5,18.1,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,15.43258724,29.30265038,30.35825357,33.0613875,2022,NA,NA,NA,NA,118.6666667,76.83333333,76
2850-57889,Mayas,N,M,2022-07-03,118,118,118.5,Y,N,87.5,87.5,88,NA,NA,NA,16.1,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,13.83903789,30.36810402,35.37113161,31.40248255,2022,NA,NA,NA,NA,118.1666667,NA,87.66666667
2850-57890,Mayas,N,M,2022-07-03,119.5,120,120,Y,Y,94,94,94,92,92,92,17.9,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,13.12021602,20.99407943,22.76143071,25.11323862,2022,NA,NA,NA,NA,119.8333333,92,94
2850-57891,Schaap,N,F,2022-07-05,116,116,116.5,Y,Y,75,75,74.5,74,74.5,74,17.06,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,19.16666002,27.60000665,31.7135344,36.15121801,2022,NA,NA,NA,NA,116.1666667,74.16666667,74.83333333
2850-57892,Schaap,N,F,2022-07-05,117.5,117,117,Y,Y,77,77.5,77,78,78,78.5,18.33,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,15.6466783,26.97495846,25.7657328,25.53666002,2022,NA,NA,NA,NA,117.1666667,78.16666667,77.16666667
2850-57893,Schaap,N,F,2022-07-05,119.5,119.5,119.5,N,N,NA,NA,NA,NA,NA,NA,17.02,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,17.4840894,23.50209704,26.74920239,22.77298438,2022,NA,NA,NA,NA,119.5,NA,NA
2850-57894,Schaap,N,F,2022-07-05,122,122,122,Y,Y,79.5,79.5,79.5,79.5,79.5,80,17.77,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,16.36532569,29.21396976,28.03295115,25.70863077,2022,NA,NA,NA,NA,122,79.66666667,79.5
2850-57895,Schaap,N,M,2022-07-05,115.5,115.5,116,Y,Y,82.5,82.5,82.5,82,82,82,16.41,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,14.08266035,25.73170489,24.50670987,25.207112,2022,NA,NA,NA,NA,115.6666667,82,82.5
2850-57896,Cargill,N,F,2022-07-11,120,120,120.5,Y,Y,74,74,74.5,75,75,74.5,15.54,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,NA,NA,NA,NA,2022,NA,NA,NA,NA,120.1666667,74.83333333,74.16666667
2850-57897,Cargill,N,M,2022-07-11,118,117.5,118,N,Y,NA,NA,NA,82,82,82,15.82,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,15.02251412,17.59994018,11.69944001,20.37108508,2022,NA,NA,NA,NA,117.8333333,82,NA
2850-57898,Golden Grizzly,N,M,2022-07-14,118,118,118,Y,Y,85.5,85.5,85.5,88,88,88,16.13,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,15.98940678,22.17759721,25.62878365,21.9186341,2022,NA,NA,NA,NA,118,88,85.5
2850-57899,Urban Farm Girlz,N,M,2022-06-01,119,119,119,Y,Y,83,83,83,83,83,83,NA,White,Lt Blue,Green,L,Y,2,2850-57608,2022-05-20,4,3,3,fledged,Y,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,NA,NA,NA,NA,2022,140,NA,NA,NA,119,83,83
2850-57900,Golden Grizzly,N,F,2022-07-14,115,115,115.5,N,Y,NA,NA,NA,73.5,73.5,74,16.88,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,NA,32.45504985,33.50666334,22.34405284,2022,NA,NA,NA,NA,115.1666667,73.66666667,NA
2850-57901,Blue Cloud,Y,M?,2022-05-26,120,120.5,120,Y,Y,89,88.5,89,83,83,83,18.9,Dk Green,Lt Green,White,L,Y,16,2850-57572,2022-05-22,2+,0,0,fell,N,5,2850-57572,2022-05-30,4,1,1,fledged,Y,5.2,2850-57572,2022-07-10,4,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,10.28857926,32.82417747,29.76531572,29.26528913,2022,142,150,191,NA,120.1666667,83,88.83333333
2850-57904,Schaap,Y,F,2022-07-05,115.5,116,115.5,N,Y,NA,NA,NA,75,75,75,19.1,Lt Blue,Orange,NONE,L,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,16.81359256,35.97476736,35.85982386,32.74678631,2022,NA,NA,NA,NA,115.6666667,75,NA
2870-64901,Golden Grizzly,N,F,2022-07-14,115,115,115,Y,Y,69,69,69,69,69,69,16.49,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,25.61184945,31.99514789,24.07663343,30.69185111,2022,NA,NA,NA,NA,115,69,69
2870-64903,Golden Grizzly,N,F,2022-07-14,114.5,114.5,115,Y,Y,74,74.5,74,73,73,73,18.46,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,18.95680625,23.40423895,18.09814556,20.897333,2022,NA,NA,NA,NA,114.6666667,73,74.16666667
2870-64904,Golden Grizzly,N,M?,2022-07-14,124,124,124,Y,N,90,90.5,90.5,NA,NA,NA,18.48,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,17.41480891,32.08993519,32.96160518,35.02111333,2022,NA,NA,NA,NA,124,NA,90.33333333
2870-64905,Blue Cloud,N,M,2022-07-20,121,121.5,121,Y,Y,90,90,90,90,90,90,15.88,Purple,Orange,NONE,R,Y,26,2850-57885,2022-06-14,4,0,0,unhatched,N,26.2,2850-57885,2022-07-09,4,0,0,unhatched,N,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,8.130338983,14.29319209,18.37634264,16.15359422,2022,165,190,NA,NA,121.1666667,90,90
2870-64906,Boyer,N,M,2022-07-20,124,123.5,124,Y,N,98.5,98,98.5,NA,NA,NA,18.79,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,13.79006647,12.68627617,8.80171984,16.66730475,2022,NA,NA,NA,NA,123.8333333,NA,98.33333333
